menu_fd_Code,menu_fd_Nm,upper_Fd_Grupp_Nm,fd_Grupp_Nm,ingredient_text,document
D014043,율무볶음밥,밥류,비빔밥 및 볶음밥류,"마늘, 생것, 양파, 생것, 당근, 뿌리, 생것, 돼지고기, 앞다리(앞다리살), 생것, 율무, 도정, 생것, 완두, 생것, 생수, 올리브유, 소금, 천일염, 가는소금, 후추, 검은색, 가루, 카레 소스, 가루","메뉴명: 율무볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 마늘, 생것, 양파, 생것, 당근, 뿌리, 생것, 돼지고기, 앞다리(앞다리살), 생것, 율무, 도정, 생것, 완두, 생것, 생수, 올리브유, 소금, 천일염, 가는소금, 후추, 검은색, 가루, 카레 소스, 가루"
D014044,참나물불고기비빔밥,밥류,비빔밥 및 볶음밥류,"소고기, 한우, 등심, 생것, 참나물, 야생, 생것, 양파, 생것, 당근, 뿌리, 생것, 달걀, 생것, 멥쌀, 백미, 생것, 생수, 설탕, 백설탕, 간장, 개량, 양조, 굴 소스, 발효주, 청주, 알코올 16%, 마늘, 생것, 참기름, 후추, 검은색, 가루, 고춧가루, 식초, 감식초, 까나리, 액젓, 참깨, 흰색, 볶은것, 콩기름","메뉴명: 참나물불고기비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 소고기, 한우, 등심, 생것, 참나물, 야생, 생것, 양파, 생것, 당근, 뿌리, 생것, 달걀, 생것, 멥쌀, 백미, 생것, 생수, 설탕, 백설탕, 간장, 개량, 양조, 굴 소스, 발효주, 청주, 알코올 16%, 마늘, 생것, 참기름, 후추, 검은색, 가루, 고춧가루, 식초, 감식초, 까나리, 액젓, 참깨, 흰색, 볶은것, 콩기름"
D014045,비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 콩나물, 생것, 시금치, 생것, 무, 조선무, 생것, 소고기, 한우(1++등급), 설도, 생것, 고사리, 생것, 고추장, 개량, 마늘, 생것, 혼합식물성유, 고춧가루, 참깨, 흰색, 볶은것, 참기름, 파, 대파, 생것, 소금, 천일염, 가는소금","메뉴명: 비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 콩나물, 생것, 시금치, 생것, 무, 조선무, 생것, 소고기, 한우(1++등급), 설도, 생것, 고사리, 생것, 고추장, 개량, 마늘, 생것, 혼합식물성유, 고춧가루, 참깨, 흰색, 볶은것, 참기름, 파, 대파, 생것, 소금, 천일염, 가는소금"
D014046,간장달걀밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 간장, 개량, 양조, 당근, 뿌리, 생것, 콩기름, 소금, 천일염, 파, 쪽파, 생것","메뉴명: 간장달걀밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 간장, 개량, 양조, 당근, 뿌리, 생것, 콩기름, 소금, 천일염, 파, 쪽파, 생것"
D014047,게살볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 게, 대게, 생것, 달걀, 생것, 파, 쪽파, 생것, 양파, 생것, 콩기름, 피망, 초록색, 생것, 파프리카, 노란색, 생것, 굴 소스","메뉴명: 게살볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 게, 대게, 생것, 달걀, 생것, 파, 쪽파, 생것, 양파, 생것, 콩기름, 피망, 초록색, 생것, 파프리카, 노란색, 생것, 굴 소스"
D014048,김밥볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 우엉, 생것, 햄, 등심햄, 무 절임, 단무지, 당근, 뿌리, 생것, 찹쌀, 백미, 생것, 피망, 초록색, 생것, 김, 참김, 구운것, 간장, 개량, 양조, 참기름, 설탕, 황설탕, 참깨, 흰색, 볶은것, 물엿","메뉴명: 김밥볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 우엉, 생것, 햄, 등심햄, 무 절임, 단무지, 당근, 뿌리, 생것, 찹쌀, 백미, 생것, 피망, 초록색, 생것, 김, 참김, 구운것, 간장, 개량, 양조, 참기름, 설탕, 황설탕, 참깨, 흰색, 볶은것, 물엿"
D014049,꼬막비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 꼬막, 생것, 무, 조선무, 생것, 양파, 적색, 생것, 날치, 알, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 들깻잎, 생것, 치커리, 잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 양배추, 적색, 생것, 고춧가루, 참기름, 마늘, 생것, 참깨, 흰색, 볶은것","메뉴명: 꼬막비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 꼬막, 생것, 무, 조선무, 생것, 양파, 적색, 생것, 날치, 알, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 들깻잎, 생것, 치커리, 잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 양배추, 적색, 생것, 고춧가루, 참기름, 마늘, 생것, 참깨, 흰색, 볶은것"
D014050,나물비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 시금치, 생것, 콩나물, 생것, 콩기름, 간장, 개량, 양조, 참깨, 흰색, 볶은것, 참기름","메뉴명: 나물비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 시금치, 생것, 콩나물, 생것, 콩기름, 간장, 개량, 양조, 참깨, 흰색, 볶은것, 참기름"
D014051,낙지비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 낙지, 생것, 콩나물, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 고추장, 재래, 김, 참김, 구운것, 파, 대파, 생것, 참기름, 고춧가루, 콩기름, 참깨, 흰색, 볶은것, 소금, 천일염, 간장, 개량, 양조, 마늘, 다진것","메뉴명: 낙지비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 낙지, 생것, 콩나물, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 고추장, 재래, 김, 참김, 구운것, 파, 대파, 생것, 참기름, 고춧가루, 콩기름, 참깨, 흰색, 볶은것, 소금, 천일염, 간장, 개량, 양조, 마늘, 다진것"
D014052,달걀볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 콩기름, 소금, 천일염, 가는소금","메뉴명: 달걀볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 콩기름, 소금, 천일염, 가는소금"
D014053,목살필라프,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 돼지고기, 목심, 생것, 양파, 생것, 마요네즈, 당근, 뿌리, 생것, 굴 소스, 콩기름, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 파프리카, 노란색, 생것, 발효주, 청주, 알코올 16%, 간장, 개량, 양조, 참기름, 참깨, 흰색, 볶은것, 소금, 천일염, 소금꽃, 후추, 검은색, 가루","메뉴명: 목살필라프
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 돼지고기, 목심, 생것, 양파, 생것, 마요네즈, 당근, 뿌리, 생것, 굴 소스, 콩기름, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 파프리카, 노란색, 생것, 발효주, 청주, 알코올 16%, 간장, 개량, 양조, 참기름, 참깨, 흰색, 볶은것, 소금, 천일염, 소금꽃, 후추, 검은색, 가루"
D014054,삼색도리아,밥류,비빔밥 및 볶음밥류,"생수, 멥쌀, 백미, 생것, 소고기, 한우(1++등급), 채끝, 생것, 호박, 단호박, 생것, 치즈, 모차렐라, 간장, 개량, 양조, 발효주, 청주, 알코올 16%, 설탕, 백설탕, 양파, 생것, 마늘, 생것, 물엿, 파, 대파, 생것, 후추, 흰색, 가루, 참기름","메뉴명: 삼색도리아
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 생수, 멥쌀, 백미, 생것, 소고기, 한우(1++등급), 채끝, 생것, 호박, 단호박, 생것, 치즈, 모차렐라, 간장, 개량, 양조, 발효주, 청주, 알코올 16%, 설탕, 백설탕, 양파, 생것, 마늘, 생것, 물엿, 파, 대파, 생것, 후추, 흰색, 가루, 참기름"
D014055,새우볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 새우, 흰다리새우, 생것, 피망, 초록색, 생것, 감자, 대지, 생것, 양파, 생것, 당근, 뿌리, 생것, 굴 소스, 콩기름, 맛술, 참기름, 참깨, 흰색, 볶은것","메뉴명: 새우볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 새우, 흰다리새우, 생것, 피망, 초록색, 생것, 감자, 대지, 생것, 양파, 생것, 당근, 뿌리, 생것, 굴 소스, 콩기름, 맛술, 참기름, 참깨, 흰색, 볶은것"
D014056,야채볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 피망, 초록색, 생것, 양파, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 굴 소스, 콩기름","메뉴명: 야채볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 피망, 초록색, 생것, 양파, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 굴 소스, 콩기름"
D014057,열무비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 김치, 열무 김치, 달걀, 생것, 보리, 겉보리, 늘보리, 도정, 생것, 호박, 애호박, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 당근, 뿌리, 생것, 혼합식물성유, 참기름, 참깨, 흰색, 볶은것","메뉴명: 열무비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 김치, 열무 김치, 달걀, 생것, 보리, 겉보리, 늘보리, 도정, 생것, 호박, 애호박, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 당근, 뿌리, 생것, 혼합식물성유, 참기름, 참깨, 흰색, 볶은것"
D014058,참치볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 다랑어, 가다랑어, 통조림, 유지, 감자, 대지, 생것, 호박, 애호박, 생것, 양파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 콩기름, 참기름, 참깨, 흰색, 볶은것","메뉴명: 참치볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 다랑어, 가다랑어, 통조림, 유지, 감자, 대지, 생것, 호박, 애호박, 생것, 양파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 콩기름, 참기름, 참깨, 흰색, 볶은것"
D014059,채소볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 피망, 초록색, 생것, 당근, 뿌리, 생것, 콩기름, 소금, 천일염, 가는소금","메뉴명: 채소볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 피망, 초록색, 생것, 당근, 뿌리, 생것, 콩기름, 소금, 천일염, 가는소금"
D014060,통영비빔밥,밥류,비빔밥 및 볶음밥류,"콩나물, 생것, 멥쌀, 백미, 생것, 고사리, 생것, 무, 조선무, 생것, 당근, 뿌리, 생것, 톳, 생것, 참기름, 들기름, 간장, 개량, 양조, 콩기름, 마늘, 다진것, 참깨, 흰색, 볶은것","메뉴명: 통영비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 콩나물, 생것, 멥쌀, 백미, 생것, 고사리, 생것, 무, 조선무, 생것, 당근, 뿌리, 생것, 톳, 생것, 참기름, 들기름, 간장, 개량, 양조, 콩기름, 마늘, 다진것, 참깨, 흰색, 볶은것"
D014061,해물볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 오징어, 생것, 새우, 흰다리새우, 생것, 양파, 생것, 찹쌀, 백미, 생것, 당근, 뿌리, 생것, 콩기름, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 마늘, 생것, 참기름, 참깨, 흰색, 볶은것, 소금, 천일염, 소금꽃","메뉴명: 해물볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 오징어, 생것, 새우, 흰다리새우, 생것, 양파, 생것, 찹쌀, 백미, 생것, 당근, 뿌리, 생것, 콩기름, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 마늘, 생것, 참기름, 참깨, 흰색, 볶은것, 소금, 천일염, 소금꽃"
D014062,깍두기볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 김치, 깍두기, 햄, 등심햄, 고추장, 개량, 고춧가루, 간장, 개량, 양조, 콩기름, 참기름, 파, 대파, 생것, 설탕, 백설탕","메뉴명: 깍두기볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 김치, 깍두기, 햄, 등심햄, 고추장, 개량, 고춧가루, 간장, 개량, 양조, 콩기름, 참기름, 파, 대파, 생것, 설탕, 백설탕"
D014063,날치알볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 날치, 알, 생것, 찹쌀, 백미, 생것, 무 절임, 단무지, 양파, 생것, 피망, 초록색, 생것, 당근, 뿌리, 생것, 식초, 사과식초, 참기름, 마늘, 생것, 버터, 무가염, 콩기름","메뉴명: 날치알볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 날치, 알, 생것, 찹쌀, 백미, 생것, 무 절임, 단무지, 양파, 생것, 피망, 초록색, 생것, 당근, 뿌리, 생것, 식초, 사과식초, 참기름, 마늘, 생것, 버터, 무가염, 콩기름"
D014064,바지락비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 바지락, 생것, 무, 조선무, 생것, 양파, 생것, 날치, 알, 생것, 들깻잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 고춧가루, 참기름, 마늘, 생것","메뉴명: 바지락비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 바지락, 생것, 무, 조선무, 생것, 양파, 생것, 날치, 알, 생것, 들깻잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 고춧가루, 참기름, 마늘, 생것"
D014065,봄나물비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 표고버섯, 배지재배, 생것, 당근, 뿌리, 생것, 돌나물, 생것, 달래, 생것, 고비, 야생, 삶아서 말린것, 도라지, 뿌리, 생것, 콩기름, 참깨, 흰색, 볶은것, 소금, 천일염, 간장, 개량, 양조","메뉴명: 봄나물비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 표고버섯, 배지재배, 생것, 당근, 뿌리, 생것, 돌나물, 생것, 달래, 생것, 고비, 야생, 삶아서 말린것, 도라지, 뿌리, 생것, 콩기름, 참깨, 흰색, 볶은것, 소금, 천일염, 간장, 개량, 양조"
D014066,산나물비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 부지깽이(섬쑥부쟁이), 생것, 취나물, 곰취, 생것, 참나물, 재배, 생것, 머위, 생것, 고추장, 개량, 당근, 뿌리, 생것, 간장, 개량, 양조, 파, 대파, 생것, 참기름, 옥수수기름, 마늘, 생것","메뉴명: 산나물비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 부지깽이(섬쑥부쟁이), 생것, 취나물, 곰취, 생것, 참나물, 재배, 생것, 머위, 생것, 고추장, 개량, 당근, 뿌리, 생것, 간장, 개량, 양조, 파, 대파, 생것, 참기름, 옥수수기름, 마늘, 생것"
D014067,삼겹살볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 돼지고기, 삼겹살, 생것, 양파, 생것, 옥수수, 통조림, 가당, 당근, 뿌리, 생것, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 마늘, 생것, 후추, 흰색, 가루, 소금, 천일염, 가는소금","메뉴명: 삼겹살볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 돼지고기, 삼겹살, 생것, 양파, 생것, 옥수수, 통조림, 가당, 당근, 뿌리, 생것, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 마늘, 생것, 후추, 흰색, 가루, 소금, 천일염, 가는소금"
D014068,새우살볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 밥, 달걀, 생것, 새우, 흰다리새우, 생것, 굴 소스, 참기름, 파, 대파, 생것, 간장, 개량, 양조, 면실유, 마늘, 생것","메뉴명: 새우살볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 밥, 달걀, 생것, 새우, 흰다리새우, 생것, 굴 소스, 참기름, 파, 대파, 생것, 간장, 개량, 양조, 면실유, 마늘, 생것"
D014069,중국식볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 양송이버섯, 생것, 양파, 생것, 당근, 뿌리, 생것, 찹쌀, 백미, 생것, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 콩기름, 소금, 천일염, 소금꽃, 마늘, 생것, 후추, 검은색, 가루","메뉴명: 중국식볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 양송이버섯, 생것, 양파, 생것, 당근, 뿌리, 생것, 찹쌀, 백미, 생것, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 굴 소스, 콩기름, 소금, 천일염, 소금꽃, 마늘, 생것, 후추, 검은색, 가루"
D014070,중국식잡채밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 당면, 고구마, 말린것, 돼지고기, 뒷다리, 생것, 호박, 애호박, 생것, 배추, 생것, 양파, 생것, 대나무순(죽순), 생것, 달걀, 생것, 당근, 뿌리, 생것, 굴 소스, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 콩기름, 마늘, 생것, 참기름, 목이버섯, 생것, 참깨, 흰색, 볶은것","메뉴명: 중국식잡채밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 당면, 고구마, 말린것, 돼지고기, 뒷다리, 생것, 호박, 애호박, 생것, 배추, 생것, 양파, 생것, 대나무순(죽순), 생것, 달걀, 생것, 당근, 뿌리, 생것, 굴 소스, 파프리카, 빨간색, 생것, 피망, 초록색, 생것, 콩기름, 마늘, 생것, 참기름, 목이버섯, 생것, 참깨, 흰색, 볶은것"
D014071,중화풍볶음밥,밥류,비빔밥 및 볶음밥류,"굴 소스, 멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 피망, 초록색, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 콩기름","메뉴명: 중화풍볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 굴 소스, 멥쌀, 백미, 생것, 달걀, 생것, 양파, 생것, 피망, 초록색, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 콩기름"
D014072,햄달걀볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 햄, 등심햄, 파, 쪽파, 생것, 굴 소스, 콩기름","메뉴명: 햄달걀볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 햄, 등심햄, 파, 쪽파, 생것, 굴 소스, 콩기름"
D014073,햄야채볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 햄, 등심햄, 피망, 초록색, 생것, 양파, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 콩기름, 소금, 천일염","메뉴명: 햄야채볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 햄, 등심햄, 피망, 초록색, 생것, 양파, 생것, 파프리카, 주황색, 생것, 파프리카, 빨간색, 생것, 파프리카, 노란색, 생것, 콩기름, 소금, 천일염"
D014074,간장게살볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 게, 대게, 생것, 달걀, 생것, 파, 대파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 콩기름, 참기름","메뉴명: 간장게살볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 게, 대게, 생것, 달걀, 생것, 파, 대파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 콩기름, 참기름"
D014075,게살달걀볶음밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 달걀, 생것, 게맛살, 어육함량이 낮은것, 피망, 초록색, 생것, 양파, 생것, 당근, 뿌리, 생것, 콩기름, 굴 소스, 참기름, 소금, 천일염, 후추, 검은색, 가루","메뉴명: 게살달걀볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 달걀, 생것, 게맛살, 어육함량이 낮은것, 피망, 초록색, 생것, 양파, 생것, 당근, 뿌리, 생것, 콩기름, 굴 소스, 참기름, 소금, 천일염, 후추, 검은색, 가루"
D014076,꼬막야채비빔밥,밥류,비빔밥 및 볶음밥류,"꼬막, 생것, 멥쌀, 백미, 생것, 무, 조선무, 생것, 양파, 적색, 생것, 날치, 알, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 들깻잎, 생것, 치커리, 잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 양배추, 적색, 생것, 고춧가루, 참기름, 마늘, 생것, 참깨, 흰색, 볶은것","메뉴명: 꼬막야채비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 꼬막, 생것, 멥쌀, 백미, 생것, 무, 조선무, 생것, 양파, 적색, 생것, 날치, 알, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 들깻잎, 생것, 치커리, 잎, 생것, 간장, 개량, 양조, 파, 대파, 생것, 양배추, 적색, 생것, 고춧가루, 참기름, 마늘, 생것, 참깨, 흰색, 볶은것"
D014077,나물된장비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 된장, 개량, 무, 조선무, 생것, 호박, 애호박, 생것, 시금치, 생것, 고사리, 생것, 양파, 생것, 당근, 뿌리, 생것, 김, 조미김, 구운것, 콩기름, 참기름, 참깨, 흰색, 볶은것, 간장, 개량, 양조, 소금, 천일염","메뉴명: 나물된장비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 된장, 개량, 무, 조선무, 생것, 호박, 애호박, 생것, 시금치, 생것, 고사리, 생것, 양파, 생것, 당근, 뿌리, 생것, 김, 조미김, 구운것, 콩기름, 참기름, 참깨, 흰색, 볶은것, 간장, 개량, 양조, 소금, 천일염"
D014078,낙지강황비빔밥,밥류,비빔밥 및 볶음밥류,"낙지, 생것, 멥쌀, 백미, 생것, 콩나물, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 고추장, 재래, 김, 참김, 구운것, 파, 대파, 생것, 고춧가루, 콩기름, 참기름, 참깨, 흰색, 볶은것, 강황, 가루, 소금, 천일염, 간장, 개량, 양조, 마늘, 다진것","메뉴명: 낙지강황비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 낙지, 생것, 멥쌀, 백미, 생것, 콩나물, 생것, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 고추장, 재래, 김, 참김, 구운것, 파, 대파, 생것, 고춧가루, 콩기름, 참기름, 참깨, 흰색, 볶은것, 강황, 가루, 소금, 천일염, 간장, 개량, 양조, 마늘, 다진것"
D014079,달걀버터비빔밥,밥류,비빔밥 및 볶음밥류,"달걀, 생것, 멥쌀, 백미, 생것, 명태, 알, 양념젓갈(명란젓), 치커리, 잎, 생것, 버터, 무가염, 부추, 두메부추, 생것, 참기름, 참깨, 흰색, 볶은것","메뉴명: 달걀버터비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 달걀, 생것, 멥쌀, 백미, 생것, 명태, 알, 양념젓갈(명란젓), 치커리, 잎, 생것, 버터, 무가염, 부추, 두메부추, 생것, 참기름, 참깨, 흰색, 볶은것"
D014080,닭살채소볶음밥,밥류,비빔밥 및 볶음밥류,"닭고기, 가슴, 생것, 멥쌀, 백미, 생것, 콩기름, 파프리카, 노란색, 생것, 양파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 설탕, 백설탕, 마늘, 생것, 참깨, 흰색, 볶은것, 후추, 검은색, 가루, 맛술","메뉴명: 닭살채소볶음밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 닭고기, 가슴, 생것, 멥쌀, 백미, 생것, 콩기름, 파프리카, 노란색, 생것, 양파, 생것, 당근, 뿌리, 생것, 간장, 개량, 양조, 설탕, 백설탕, 마늘, 생것, 참깨, 흰색, 볶은것, 후추, 검은색, 가루, 맛술"
D014081,도토리묵비빔밥,밥류,비빔밥 및 볶음밥류,"멥쌀, 백미, 생것, 도토리묵, 김치, 배추 김치, 오이, 다다기, 생것, 찹쌀, 백미, 생것, 참기름, 간장, 개량, 양조, 설탕, 백설탕, 김, 참김, 구운것, 파, 쪽파, 생것, 당근, 뿌리, 생것, 소금, 천일염, 소금꽃","메뉴명: 도토리묵비빔밥
메뉴 대분류: 밥류
메뉴 소분류: 비빔밥 및 볶음밥류
식재료: 멥쌀, 백미, 생것, 도토리묵, 김치, 배추 김치, 오이, 다다기, 생것, 찹쌀, 백미, 생것, 참기름, 간장, 개량, 양조, 설탕, 백설탕, 김, 참김, 구운것, 파, 쪽파, 생것, 당근, 뿌리, 생것, 소금, 천일염, 소금꽃"
